id,full_name,identity_number,phone,email
"cb34951b-f266-4044-ac67-e28f229ecbb8","Đặng Gia Linh","001789488445","0930978131","tenant0@example.com"
"39672615-5c90-4e1a-9736-bd82a0b870a4","Vũ Thị Linh","009817486632","0986113790","tenant1@example.com"
"0f377900-076a-48c5-9164-0cee2a5caa16","Phạm Thị Hưng","004344774610","0922229433","tenant2@example.com"
"815ad68d-f798-4a96-8a73-b846d55f675f","Vũ Thị Trang","009676968069","0985095427","tenant3@example.com"
"bd50bc5a-17e6-40ff-9f64-c3a73f1a2618","Hoàng Minh Linh","009021056846","0906183868","tenant4@example.com"
"79050c52-dc5d-4ba0-83e3-ab1f64e17ee3","Phạm Bảo Thành","009741061886","0984132312","tenant5@example.com"
"792f5cc9-d1a0-4d75-a72a-2b715ef25c6b","Nguyễn Ngọc An","000059217910","0926128605","tenant6@example.com"
"06fc41c5-1867-4b15-a4a2-f4fa8426df5c","Phan Gia Trang","009689236792","0929894927","tenant7@example.com"
"811b5bde-3016-428a-ab94-8e7fbe662063","Đặng Hoàng Mai","008721681881","0931338297","tenant8@example.com"
"3bb047bf-1c5d-4c63-8f83-1bc279fe1837","Trần Hữu Dương","000987344393","0975745367","tenant9@example.com"
"d98408fb-a673-44e3-a558-fd0337db3889","Vũ Minh Trang","003139803203","0964261972","tenant10@example.com"
"18af572f-a29c-40a0-9786-cba5a7455875","Đặng Hoàng Cường","005990899742","0943968364","tenant11@example.com"
"df2e396c-3885-49db-8b02-3830072a3834","Trần Gia Hưng","005062446851","0915646290","tenant12@example.com"
"ed85396e-3a7f-4fbf-9d0b-37251106369a","Trần Gia Linh","005056053421","0975927391","tenant13@example.com"
"4a713834-ec20-4a04-92ce-0b65d956bcbb","Võ Gia An","000462018193","0901652324","tenant14@example.com"
"71a26742-3f5a-434b-ad2a-c1c0481f9f9c","Lê Hoàng Thủy","007112421295","0999951215","tenant15@example.com"
"affb4a9f-4039-4828-9bda-cdb85212cad6","Đặng Ngọc Trang","002819112737","0997242680","tenant16@example.com"
"1e18e459-09a8-49a4-a0a3-3b5037f7f585","Nguyễn Thị Thủy","004082097696","0944358551","tenant17@example.com"
"7af40d41-e651-48e7-a26c-34bc82f17f71","Trần Gia Nam","006499708650","0916264356","tenant18@example.com"
"6fd87b82-b992-4b40-bdb8-986deb9d8113","Võ Hữu Phương","009009656787","0964419388","tenant19@example.com"
"0c81cdce-952e-493d-89da-955ab547ff43","Lê Hoàng Bình","007330061931","0961873927","tenant20@example.com"
"799c5a74-4e98-4e82-8c3f-f8ce04b722e9","Đặng Bảo Hải","006382506170","0967286877","tenant21@example.com"
"40705a0a-0713-446b-a42d-38fcb0b72f17","Trần Thảo Thủy","006172183319","0965087066","tenant22@example.com"
"9a0e5524-4ff0-4a29-a7e4-8ff8054c5711","Phạm Thanh An","006629550364","0921024293","tenant23@example.com"
"554799c7-1b57-40ac-a992-32e0b5d81ea7","Vũ Văn Dương","002413631731","0958318800","tenant24@example.com"
"e6a13ed8-c6bc-4bb5-8dc1-b38c5feb7fbc","Lê Thanh Trang","009250352717","0920328249","tenant25@example.com"
"59931a08-a3e9-4385-ae79-457f8f5b8e08","Vũ Minh Hưng","006566386960","0981424738","tenant26@example.com"
"0f24c511-198e-49a2-a6bd-8a819262023f","Nguyễn Hữu Quân","006505810852","0941012423","tenant27@example.com"
"4dd5b495-94b9-4650-85d0-94a9d20cbde9","Lê Bảo Dương","005672257049","0985750382","tenant28@example.com"
"ec286141-a1ee-4b18-a9f2-c6327a821e31","Huỳnh Thảo Nam","008674448234","0939498199","tenant29@example.com"
